CustomerID,TotalOrders,TotalItems,TotalRevenue,AvgOrderValue,UniqueProducts,FavCategory,FirstPurchase,LastPurchase,CustomerLifeDays,AvgDaysBetweenOrders
10030,16,84,3035.66,189.72875,15,Kitchen,2022-02-09,2023-12-20,679,42.4375
10031,27,115,3708.76,137.3614814814815,24,Kitchen,2022-03-03,2023-10-24,600,22.22222222222222
10032,22,105,3824.33,173.83318181818183,22,Beauty,2022-01-01,2023-11-16,684,31.09090909090909
10033,29,128,4430.97,152.79206896551725,29,Kitchen,2022-01-30,2023-12-27,696,24.0
10034,38,168,6346.34,167.00894736842105,37,Home Decor,2022-01-20,2023-11-20,669,17.605263157894736
10035,18,88,3254.96,180.8311111111111,16,Kitchen,2022-01-03,2023-09-25,630,35.0
10036,20,96,3214.0499999999997,160.7025,18,Electronics,2022-01-09,2023-11-03,663,33.15
10037,18,80,2997.6499999999996,166.5361111111111,18,Home Decor,2022-01-21,2023-12-06,684,38.0
10038,20,92,3088.29,154.4145,19,Toys & Games,2022-01-01,2023-12-29,727,36.35
10039,23,108,3072.31,133.5786956521739,23,Home Decor,2022-01-25,2023-11-19,663,28.82608695652174
10040,23,96,4306.09,187.2213043478261,22,Clothing,2022-02-12,2023-11-14,640,27.82608695652174
10041,25,98,3303.73,132.1492,23,Stationery,2022-01-06,2023-12-19,712,28.48
10042,22,108,3578.79,162.6722727272727,22,Stationery,2022-05-09,2023-10-28,537,24.40909090909091
10043,26,133,3916.8,150.64615384615385,24,Stationery,2022-01-12,2023-12-30,717,27.576923076923077
10044,20,95,2762.02,138.101,20,Beauty,2022-01-02,2023-11-13,680,34.0
10045,27,120,4233.99,156.81444444444443,25,Toys & Games,2022-01-03,2023-12-07,703,26.037037037037038
10046,17,82,3264.12,192.0070588235294,17,Kitchen,2022-01-23,2023-11-15,661,38.88235294117647
10047,24,107,4365.32,181.88833333333332,23,Garden,2022-02-14,2023-12-30,684,28.5
10048,32,120,4967.55,155.2359375,28,Clothing,2022-01-12,2023-12-03,690,21.5625
10049,33,164,4581.02,138.8187878787879,32,Stationery,2022-01-16,2023-12-22,705,21.363636363636363
10050,27,111,3471.17,128.56185185185186,27,Stationery,2022-02-07,2023-11-20,651,24.11111111111111
10051,27,124,3610.19,133.71074074074073,27,Stationery,2022-01-18,2023-12-25,706,26.14814814814815
10052,25,110,3268.21,130.7284,24,Stationery,2022-02-27,2023-12-18,659,26.36
10053,19,79,2825.73,148.72263157894736,19,Toys & Games,2022-01-24,2023-10-29,643,33.8421052631579
10054,28,125,3193.0,114.03571428571429,25,Home Decor,2022-02-13,2023-12-28,683,24.392857142857142
10055,22,86,2766.08,125.7309090909091,22,Stationery,2022-05-17,2023-12-09,571,25.954545454545453
10056,23,96,3727.9,162.08260869565217,22,Garden,2022-02-12,2023-09-24,589,25.608695652173914
10057,29,129,5573.35,192.1844827586207,24,Kitchen,2022-02-01,2023-12-22,689,23.75862068965517
10058,21,93,3575.84,170.27809523809523,20,Home Decor,2022-01-09,2023-11-30,690,32.857142857142854
10059,13,59,2869.43,220.7253846153846,11,Kitchen,2022-01-23,2023-11-07,653,50.23076923076923
10060,17,79,3884.08,228.47529411764705,17,Beauty,2022-01-01,2023-12-06,704,41.411764705882355
10061,31,133,5365.08,173.06709677419354,29,Kitchen,2022-01-13,2023-12-20,706,22.774193548387096
10062,18,93,3091.35,171.74166666666667,16,Stationery,2022-02-18,2023-11-18,638,35.44444444444444
10063,27,115,2861.86,105.99481481481482,27,Toys & Games,2022-01-07,2023-12-17,709,26.25925925925926
10064,25,93,3300.63,132.0252,22,Toys & Games,2022-01-13,2023-12-10,696,27.84
10065,22,125,4143.28,188.33090909090907,22,Beauty,2022-01-01,2023-11-15,683,31.045454545454547
10066,27,134,4984.98,184.62888888888887,27,Stationery,2022-01-01,2023-11-07,675,25.0
10067,25,110,4238.32,169.53279999999998,24,Kitchen,2022-01-16,2023-10-10,632,25.28
10068,15,67,1967.8200000000002,131.18800000000002,15,Kitchen,2022-02-02,2023-11-19,655,43.666666666666664
10069,26,117,4780.8099999999995,183.87730769230768,26,Stationery,2022-03-09,2023-12-14,645,24.807692307692307
10070,23,110,3957.65,172.0717391304348,21,Stationery,2022-01-28,2023-12-13,684,29.73913043478261
10071,23,110,3129.7,136.07391304347826,21,Toys & Games,2022-01-05,2023-12-03,697,30.304347826086957
10072,22,100,2654.11,120.64136363636364,22,Home Decor,2022-01-20,2023-12-03,682,31.0
10073,18,92,3678.87,204.38166666666666,17,Kitchen,2022-03-09,2023-11-29,630,35.0
10074,30,129,3826.03,127.53433333333334,26,Stationery,2022-01-24,2023-10-27,641,21.366666666666667
10075,17,76,1482.69,87.21705882352941,17,Stationery,2022-01-31,2023-10-13,620,36.470588235294116
10076,21,93,2795.04,133.09714285714284,21,Stationery,2022-01-15,2023-11-07,661,31.476190476190474
10077,32,152,5533.18,172.911875,31,Home Decor,2022-01-05,2023-10-29,662,20.6875
10078,23,106,4425.52,192.4139130434783,23,Home Decor,2022-01-30,2023-12-10,679,29.52173913043478
10079,21,99,4619.75,219.98809523809524,20,Home Decor,2022-02-13,2023-12-19,674,32.095238095238095
10080,22,116,4487.21,203.9640909090909,19,Kitchen,2022-01-29,2023-12-27,697,31.681818181818183
10081,15,66,1778.25,118.55,14,Home Decor,2022-03-28,2023-12-31,643,42.86666666666667
10082,28,149,5928.73,211.74035714285714,27,Kitchen,2022-02-15,2023-12-09,662,23.642857142857142
10083,25,102,2876.01,115.0404,24,Stationery,2022-03-11,2023-12-29,658,26.32
10084,28,135,4878.95,174.24821428571428,26,Stationery,2022-02-01,2023-12-30,697,24.892857142857142
10085,26,128,4861.81,186.99269230769232,26,Kitchen,2022-01-01,2023-12-31,729,28.03846153846154
10086,24,113,5759.14,239.96416666666667,23,Electronics,2022-01-06,2023-12-14,707,29.458333333333332
10087,21,94,2786.34,132.68285714285716,18,Home Decor,2022-01-26,2023-11-09,652,31.047619047619047
10088,23,121,3948.63,171.6795652173913,22,Home Decor,2022-01-09,2023-12-27,717,31.17391304347826
10089,21,92,2754.46,131.16476190476192,21,Kitchen,2022-01-18,2023-11-14,665,31.666666666666668
10090,18,82,3596.11,199.7838888888889,17,Kitchen,2022-02-06,2023-12-08,670,37.22222222222222
10091,21,81,3085.9700000000003,146.9509523809524,20,Beauty,2022-01-11,2023-12-25,713,33.95238095238095
10092,24,97,2736.03,114.00125000000001,23,Kitchen,2022-01-09,2023-12-24,714,29.75
10093,27,137,5461.21,202.26703703703703,27,Stationery,2022-02-09,2023-12-25,684,25.333333333333332
10094,20,90,3805.43,190.2715,19,Beauty,2022-03-02,2023-11-28,636,31.8
10095,18,87,2400.55,133.3638888888889,17,Clothing,2022-02-07,2023-11-10,641,35.611111111111114
10096,30,131,4515.99,150.533,25,Stationery,2022-01-21,2023-12-30,708,23.6
10097,13,64,2948.89,226.8376923076923,13,Clothing,2022-03-13,2023-11-25,622,47.84615384615385
10098,23,109,4283.26,186.2286956521739,22,Stationery,2022-03-07,2023-12-03,636,27.652173913043477
10099,31,149,4375.12,141.13290322580644,30,Toys & Games,2022-01-22,2023-11-05,652,21.032258064516128
10100,26,139,5237.67,201.44884615384615,26,Stationery,2022-01-22,2023-11-16,663,25.5
10101,26,105,4589.98,176.53769230769228,23,Garden,2022-04-22,2023-09-14,510,19.615384615384617
10102,19,93,2339.17,123.11421052631579,17,Stationery,2022-01-17,2023-12-10,692,36.421052631578945
10103,23,106,4506.1900000000005,195.92130434782612,21,Clothing,2022-01-10,2023-12-16,705,30.652173913043477
10104,17,74,1804.65,106.15588235294118,16,Stationery,2022-01-22,2023-11-04,651,38.294117647058826
10105,16,80,3384.0,211.5,15,Home Decor,2022-01-11,2023-11-26,684,42.75
10106,19,96,2511.82,132.20105263157896,18,Stationery,2022-01-16,2023-10-14,636,33.473684210526315
10107,24,103,5026.0,209.41666666666666,23,Electronics,2022-01-11,2023-12-08,696,29.0
10108,25,115,4287.47,171.49880000000002,24,Beauty,2022-01-24,2023-12-09,684,27.36
10109,27,128,4825.71,178.73,27,Stationery,2022-01-24,2023-12-29,704,26.074074074074073
10110,18,81,3595.48,199.7488888888889,17,Toys & Games,2022-07-28,2023-11-02,462,25.666666666666668
10111,21,103,4351.76,207.2266666666667,19,Kitchen,2022-01-18,2023-12-11,692,32.95238095238095
10112,30,144,4295.8,143.19333333333333,27,Home Decor,2022-02-16,2023-12-19,671,22.366666666666667
10113,18,77,3437.8900000000003,190.9938888888889,15,Stationery,2022-01-09,2023-11-10,670,37.22222222222222
10114,27,125,4741.04,175.5940740740741,25,Electronics,2022-01-08,2023-12-22,713,26.40740740740741
10115,24,110,3516.49,146.52041666666665,23,Stationery,2022-02-18,2023-12-22,672,28.0
10116,27,112,3599.72,133.32296296296295,26,Kitchen,2022-01-09,2023-11-27,687,25.444444444444443
10117,26,118,4877.97,187.61423076923077,24,Toys & Games,2022-01-08,2023-12-31,722,27.76923076923077
10118,22,115,4268.86,194.0390909090909,21,Stationery,2022-03-22,2023-12-27,645,29.318181818181817
10119,22,96,3957.57,179.88954545454547,22,Beauty,2022-01-02,2023-10-31,667,30.318181818181817
10120,31,140,4978.7,160.6032258064516,28,Toys & Games,2022-01-31,2023-11-25,663,21.387096774193548
10121,22,97,4178.35,189.925,21,Electronics,2022-01-17,2023-11-29,681,30.954545454545453
10122,21,106,3280.9700000000003,156.23666666666668,19,Stationery,2022-02-07,2023-12-23,684,32.57142857142857
10123,25,119,4566.43,182.65720000000002,24,Kitchen,2022-03-16,2023-10-28,591,23.64
10124,22,101,3893.77,176.98954545454546,19,Clothing,2022-03-29,2023-12-23,634,28.818181818181817
10125,26,127,3561.19,136.96884615384616,23,Beauty,2022-01-02,2023-11-22,689,26.5
10126,25,116,3804.69,152.1876,24,Beauty,2022-01-11,2023-12-29,717,28.68
10127,28,114,3710.01,132.50035714285715,27,Home Decor,2022-01-17,2023-12-03,685,24.464285714285715
10128,25,121,5668.03,226.72119999999998,24,Kitchen,2022-01-15,2023-12-17,701,28.04
10129,23,107,4374.37,190.19,23,Beauty,2022-01-09,2023-12-21,711,30.91304347826087
10130,29,95,5597.65,193.02241379310342,26,Electronics,2022-01-20,2023-10-05,623,21.482758620689655
10131,27,126,4106.28,152.08444444444444,27,Beauty,2022-01-31,2023-12-01,669,24.77777777777778
10132,27,113,3364.56,124.61333333333333,27,Toys & Games,2022-02-11,2023-12-25,682,25.25925925925926
10133,27,125,5503.3,203.82592592592593,26,Toys & Games,2022-01-14,2023-12-31,716,26.51851851851852
10134,28,115,4771.16,170.39857142857142,26,Electronics,2022-01-27,2023-12-14,686,24.5
10135,35,167,6488.63,185.38942857142857,35,Beauty,2022-01-21,2023-12-01,679,19.4
10136,22,109,4444.42,202.01909090909092,21,Home Decor,2022-04-19,2023-12-02,592,26.90909090909091
10137,25,95,3086.62,123.4648,25,Beauty,2022-01-06,2023-12-01,694,27.76
10138,19,83,3100.14,163.16526315789474,19,Garden,2022-01-26,2023-11-20,663,34.89473684210526
10139,23,105,3776.33,164.18826086956523,23,Toys & Games,2022-04-03,2023-12-21,627,27.26086956521739
10140,30,156,5704.25,190.14166666666668,29,Kitchen,2022-01-15,2023-12-05,689,22.966666666666665
10141,29,156,5910.93,203.82517241379313,29,Stationery,2022-01-04,2023-10-22,656,22.620689655172413
10142,18,71,2409.2599999999998,133.84777777777776,15,Kitchen,2022-05-01,2023-11-04,552,30.666666666666668
10143,21,92,2682.49,127.73761904761903,21,Home Decor,2022-03-31,2023-12-27,636,30.285714285714285
10144,18,85,2705.78,150.32111111111112,18,Clothing,2022-02-28,2023-12-31,671,37.27777777777778
10145,24,116,4790.23,199.59291666666664,23,Stationery,2022-01-25,2023-12-16,690,28.75
10146,26,105,2780.09,106.92653846153847,25,Kitchen,2022-01-16,2023-10-14,636,24.46153846153846
10147,27,131,3837.83,142.14185185185184,25,Stationery,2022-01-03,2023-11-26,692,25.62962962962963
10148,32,181,7126.58,222.705625,29,Clothing,2022-01-17,2023-12-11,693,21.65625
10149,18,77,2476.1800000000003,137.56555555555556,17,Toys & Games,2022-01-28,2023-10-12,622,34.55555555555556
10150,34,167,6335.7,186.34411764705882,28,Home Decor,2022-01-08,2023-11-22,683,20.08823529411765
10151,21,94,2849.71,135.7004761904762,19,Toys & Games,2022-03-19,2023-12-29,650,30.952380952380953
10152,23,104,2765.87,120.25521739130434,23,Clothing,2022-01-16,2023-12-27,710,30.869565217391305
10153,21,100,2910.8599999999997,138.61238095238093,19,Electronics,2022-01-09,2023-12-17,707,33.666666666666664
10154,22,103,4071.24,185.0563636363636,21,Toys & Games,2022-01-27,2023-12-29,701,31.863636363636363
10155,27,135,4893.82,181.25259259259258,25,Home Decor,2022-01-07,2023-12-15,707,26.185185185185187
10156,33,148,5825.75,176.53787878787878,31,Kitchen,2022-01-30,2023-11-16,655,19.848484848484848
10157,21,78,2736.69,130.31857142857143,18,Home Decor,2022-01-04,2023-11-05,670,31.904761904761905
10158,25,112,4242.11,169.68439999999998,23,Kitchen,2022-01-07,2023-12-21,713,28.52
10159,24,101,5191.33,216.30541666666667,24,Electronics,2022-01-05,2023-12-24,718,29.916666666666668
10160,18,70,2104.21,116.90055555555556,16,Stationery,2022-01-04,2023-10-27,661,36.72222222222222
10161,20,82,2205.84,110.292,18,Toys & Games,2022-01-01,2023-12-17,715,35.75
10162,19,83,2374.57,124.97736842105265,19,Beauty,2022-01-25,2023-11-29,673,35.421052631578945
10163,24,112,2906.3100000000004,121.09625000000001,24,Stationery,2022-01-15,2023-12-24,708,29.5
10164,23,97,3101.2400000000002,134.83652173913043,20,Kitchen,2022-02-05,2023-10-24,626,27.217391304347824
10165,17,81,1921.3400000000001,113.02000000000001,17,Stationery,2022-03-26,2023-10-19,572,33.64705882352941
10166,25,119,3472.7999999999997,138.91199999999998,24,Home Decor,2022-01-12,2023-11-02,659,26.36
10167,29,130,3998.6,137.88275862068966,28,Home Decor,2022-01-04,2023-08-11,584,20.137931034482758
10168,26,123,4005.49,154.0573076923077,23,Kitchen,2022-01-12,2023-12-28,715,27.5
10169,22,104,4170.4,189.56363636363633,20,Electronics,2022-01-23,2023-12-02,678,30.818181818181817
10170,22,96,3789.29,172.24045454545455,21,Electronics,2022-02-04,2023-07-11,522,23.727272727272727
10171,25,122,4295.52,171.82080000000002,23,Kitchen,2022-01-15,2023-12-18,702,28.08
10172,19,82,3247.43,170.91736842105263,18,Beauty,2022-02-23,2023-11-23,638,33.578947368421055
10173,20,84,2915.08,145.754,18,Kitchen,2022-01-10,2023-11-06,665,33.25
10174,26,118,3294.4,126.70769230769231,25,Toys & Games,2022-01-03,2023-12-14,710,27.307692307692307
10175,15,66,1869.19,124.61266666666667,13,Beauty,2022-02-16,2023-12-03,655,43.666666666666664
10176,21,111,3429.7400000000002,163.3209523809524,21,Stationery,2022-02-06,2023-12-17,679,32.333333333333336
10177,19,77,3009.53,158.3963157894737,19,Beauty,2022-01-20,2023-11-11,660,34.73684210526316
10178,18,92,2445.4500000000003,128.70789473684212,19,Kitchen,2022-02-19,2023-12-21,670,37.22222222222222
10179,20,97,3274.12,163.706,19,Kitchen,2022-03-24,2023-12-17,633,31.65
10180,29,114,4086.0,140.89655172413794,27,Kitchen,2022-02-01,2023-12-24,691,23.82758620689655
10181,28,134,5760.06,205.7164285714286,28,Home Decor,2022-03-29,2023-12-14,625,22.321428571428573
10182,26,108,3838.2000000000003,147.62307692307692,24,Kitchen,2022-01-19,2023-12-11,691,26.576923076923077
10183,25,118,2770.94,110.83760000000001,23,Kitchen,2022-01-16,2023-12-17,700,28.0
10184,20,117,4631.18,231.55900000000003,19,Beauty,2022-01-05,2023-12-03,697,34.85
10185,26,115,3891.91,149.68884615384616,26,Kitchen,2022-01-31,2023-12-31,699,26.884615384615383
10186,18,70,2129.4700000000003,118.3038888888889,16,Kitchen,2022-05-27,2023-12-06,558,31.0
10187,22,97,4240.71,192.75954545454545,21,Beauty,2022-01-13,2023-11-13,669,30.40909090909091
10188,27,134,5184.53,192.01962962962963,25,Beauty,2022-01-31,2023-12-26,694,25.703703703703702
10189,20,88,4205.900000000001,210.29500000000002,18,Garden,2022-02-02,2023-11-29,665,33.25
10190,24,106,3962.26,165.09416666666667,24,Clothing,2022-01-05,2023-12-08,702,29.25
10191,17,71,1630.23,95.89588235294117,16,Kitchen,2022-01-05,2023-12-10,704,41.411764705882355
10192,18,62,2065.06,114.72555555555556,17,Toys & Games,2022-02-16,2023-12-30,682,37.888888888888886
10193,23,114,3112.6,135.3304347826087,21,Kitchen,2022-01-21,2023-10-30,647,28.130434782608695
10194,22,90,3345.58,152.07181818181817,22,Stationery,2022-02-16,2023-10-30,621,28.227272727272727
10195,23,108,3273.72,142.33565217391305,21,Kitchen,2022-01-17,2023-12-11,693,30.130434782608695
10196,31,130,3286.33,106.01064516129033,28,Kitchen,2022-01-03,2023-11-28,694,22.387096774193548
10197,18,89,2948.63,163.8127777777778,18,Beauty,2022-01-04,2023-11-17,682,37.888888888888886
10198,34,173,6728.73,197.90382352941174,30,Beauty,2022-01-02,2023-12-11,708,20.823529411764707
10199,23,97,3145.54,136.76260869565218,22,Stationery,2022-02-09,2023-12-06,665,28.91304347826087
10200,25,110,4103.84,164.1536,23,Toys & Games,2022-02-05,2023-12-28,691,27.64
10201,27,124,4624.38,171.27333333333334,25,Kitchen,2022-01-02,2023-11-22,689,25.51851851851852
10202,29,145,4805.51,165.70724137931035,25,Home Decor,2022-02-10,2023-12-17,675,23.275862068965516
10203,29,117,4852.0,167.31034482758622,24,Kitchen,2022-01-23,2023-12-14,690,23.79310344827586
10204,27,123,4907.57,181.76185185185184,25,Home Decor,2022-02-15,2023-12-03,656,24.296296296296298
10205,29,131,5260.55,181.39827586206897,29,Kitchen,2022-01-04,2023-11-26,691,23.82758620689655
10206,22,79,2493.58,113.34454545454545,21,Home Decor,2022-02-15,2023-12-06,659,29.954545454545453
10207,21,94,3636.89,173.18523809523808,19,Stationery,2022-01-07,2023-12-16,708,33.714285714285715
10208,17,63,2067.21,121.60058823529413,16,Stationery,2022-01-04,2023-11-06,671,39.470588235294116
10209,26,113,3587.92,137.99692307692308,25,Toys & Games,2022-02-07,2023-12-30,691,26.576923076923077
10210,25,96,2874.07,114.9628,24,Home Decor,2022-01-02,2023-12-28,725,29.0
10211,22,110,5450.91,247.76863636363635,21,Kitchen,2022-03-21,2023-11-14,603,27.40909090909091
10212,20,102,4382.84,219.142,20,Beauty,2022-02-20,2023-12-27,675,33.75
10213,23,95,3289.42,143.0182608695652,21,Home Decor,2022-01-26,2023-12-09,682,29.652173913043477
10214,20,87,3193.06,159.653,19,Toys & Games,2022-01-10,2023-12-31,720,36.0
10215,24,102,3215.48,133.97833333333332,24,Toys & Games,2022-02-23,2023-12-02,647,26.958333333333332
10216,24,81,2660.7,110.8625,22,Beauty,2022-01-01,2023-12-26,724,30.166666666666668
10217,35,159,5830.17,166.57628571428572,35,Toys & Games,2022-03-16,2023-12-23,647,18.485714285714284
10218,24,127,2643.93,110.16375,24,Stationery,2022-02-23,2023-12-10,655,27.291666666666668
10219,22,117,4511.88,205.08545454545455,22,Beauty,2022-05-06,2023-12-07,580,26.363636363636363
10220,19,78,3556.02,187.15894736842105,16,Clothing,2022-02-01,2023-12-04,671,35.31578947368421
10221,28,124,4127.82,147.42214285714286,28,Stationery,2022-01-10,2023-12-19,708,25.285714285714285
10222,26,125,4848.57,186.48346153846154,26,Stationery,2022-02-17,2023-12-31,682,26.23076923076923
10223,27,103,3272.37,121.19888888888889,24,Stationery,2022-01-22,2023-10-06,622,23.037037037037038
10224,34,162,5650.71,166.19735294117646,30,Toys & Games,2022-01-02,2023-12-31,728,21.41176470588235
10225,21,113,5596.44,266.4971428571428,19,Home Decor,2022-01-23,2023-10-28,643,30.61904761904762
10226,23,87,2217.99,96.43434782608695,21,Stationery,2022-01-09,2023-11-20,680,29.565217391304348
10227,22,97,4226.38,192.10818181818183,22,Home Decor,2022-01-03,2023-09-21,626,28.454545454545453
10228,28,121,4664.91,166.60392857142855,27,Kitchen,2022-01-05,2023-12-04,698,24.928571428571427
10229,33,149,4718.86,142.99575757575758,31,Beauty,2022-03-19,2023-12-07,628,19.03030303030303
10230,13,68,3185.64,245.04923076923075,13,Toys & Games,2022-01-01,2023-11-30,698,53.69230769230769
10231,20,95,2139.32,106.96600000000001,19,Stationery,2022-03-21,2023-12-26,645,32.25
10232,27,118,3639.58,134.79925925925926,24,Toys & Games,2022-02-01,2023-11-30,667,24.703703703703702
10233,26,115,3265.89,125.61115384615384,25,Kitchen,2022-01-01,2023-10-21,658,25.307692307692307
10234,15,75,2918.3,194.55333333333334,15,Toys & Games,2022-01-22,2023-12-27,704,46.93333333333333
10235,24,103,3255.06,135.6275,22,Beauty,2022-03-05,2023-11-30,635,26.458333333333332
10236,30,136,4651.89,155.06300000000002,25,Kitchen,2022-01-05,2023-12-25,719,23.966666666666665
10237,31,121,4964.12,160.13290322580644,30,Beauty,2022-01-11,2023-11-04,662,21.35483870967742
10238,22,83,3107.02,141.2281818181818,21,Clothing,2022-01-08,2023-12-24,715,32.5
10239,28,109,3429.58,122.485,27,Kitchen,2022-02-09,2023-12-30,689,24.607142857142858
10240,25,109,4507.79,180.3116,23,Home Decor,2022-01-12,2023-12-28,715,28.6
10241,25,104,3660.92,146.4368,22,Home Decor,2022-01-13,2023-12-21,707,28.28
10242,15,72,2245.38,149.692,14,Home Decor,2022-05-01,2023-12-14,592,39.46666666666667
10243,19,72,2902.35,152.75526315789475,17,Beauty,2022-04-01,2023-12-01,609,32.05263157894737
10244,22,98,3388.67,154.03045454545455,21,Stationery,2022-01-31,2023-09-16,593,26.954545454545453
10245,29,132,5815.05,200.51896551724138,27,Clothing,2022-01-15,2023-12-15,699,24.103448275862068
10246,20,85,2697.44,134.872,19,Beauty,2022-03-09,2023-11-14,615,30.75
10247,18,110,3336.2400000000002,185.3466666666667,18,Toys & Games,2022-02-03,2023-10-21,625,34.72222222222222
10248,21,90,3920.4,186.68571428571428,20,Clothing,2022-06-15,2023-12-21,554,26.38095238095238
10249,23,95,3428.44,149.0626086956522,22,Stationery,2022-01-13,2023-12-28,714,31.043478260869566
10250,34,160,5993.0,176.26470588235293,31,Home Decor,2022-01-06,2023-12-06,699,20.558823529411764
10251,15,60,1885.72,125.71466666666667,15,Garden,2022-01-16,2023-12-22,705,47.0
10252,19,82,2715.6600000000003,142.92947368421054,18,Stationery,2022-02-22,2023-10-28,613,32.26315789473684
10253,31,124,4157.3,134.10645161290324,31,Kitchen,2022-01-04,2023-11-12,677,21.838709677419356
10254,17,72,2609.66,153.50941176470587,17,Home Decor,2022-01-18,2023-12-16,697,41.0
10255,23,120,3502.56,152.28521739130434,22,Home Decor,2022-01-22,2023-12-30,707,30.73913043478261
10256,22,100,4473.36,203.33454545454543,22,Electronics,2022-01-04,2023-11-27,692,31.454545454545453
10257,22,113,2835.27,128.8759090909091,18,Stationery,2022-02-10,2023-12-31,689,31.318181818181817
10258,20,92,3445.13,172.25650000000002,19,Beauty,2022-01-09,2023-11-26,686,34.3
10259,20,105,3101.73,155.0865,18,Kitchen,2022-02-24,2023-12-24,668,33.4
10260,24,99,3687.97,153.66541666666666,24,Electronics,2022-01-17,2023-12-20,702,29.25
10261,20,85,2242.75,112.1375,20,Stationery,2022-03-03,2023-12-21,658,32.9
10262,26,112,4336.2,166.77692307692308,24,Stationery,2022-01-17,2023-12-15,697,26.807692307692307
10263,29,98,3834.13,132.21137931034482,27,Kitchen,2022-01-11,2023-12-24,712,24.551724137931036
10264,21,85,3388.1800000000003,161.34190476190477,20,Home Decor,2022-01-04,2023-12-15,710,33.80952380952381
10265,22,108,4673.28,212.42181818181817,22,Beauty,2022-04-28,2023-11-28,579,26.318181818181817
10266,30,128,5444.1900000000005,181.473,26,Stationery,2022-02-13,2023-11-22,647,21.566666666666666
10267,26,127,4400.5,169.25,26,Clothing,2022-01-04,2023-11-02,667,25.653846153846153
10268,22,107,3210.48,145.9309090909091,20,Kitchen,2022-04-14,2023-11-14,579,26.318181818181817
10269,28,130,5524.68,197.31,27,Home Decor,2022-02-13,2023-12-25,680,24.285714285714285
10270,18,107,4623.46,256.8588888888889,17,Toys & Games,2022-03-17,2023-12-26,649,36.05555555555556
10271,25,96,3421.74,136.8696,22,Kitchen,2022-02-03,2023-10-27,631,25.24
10272,29,157,7064.9800000000005,243.62,26,Toys & Games,2022-03-11,2023-12-05,634,21.862068965517242
10273,20,105,3125.15,156.2575,20,Stationery,2022-01-29,2023-12-08,678,33.9
10274,21,96,2784.08,132.5752380952381,19,Toys & Games,2022-01-09,2023-12-19,709,33.76190476190476
