CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,KMeans_Cluster,Churned
10043,2,26,3916.8,5,4,3,12,Champions,0,0
10044,49,20,2762.02,2,1,1,4,Hibernating,2,0
10045,25,27,4233.99,3,4,4,11,Loyal Customers,0,0
10046,47,17,3264.12,2,1,2,5,Hibernating,2,0
10047,2,24,4365.32,5,3,4,12,Loyal Customers,0,0
10048,29,32,4967.55,3,5,5,13,Loyal Customers,5,0
10049,10,33,4581.02,4,5,4,13,Champions,5,0
10050,42,27,3471.17,2,4,2,8,At-Risk,1,0
10051,7,27,3610.19,5,4,3,12,Champions,0,0
10052,14,25,3268.21,4,3,2,9,Loyal Customers,3,0
10053,64,19,2825.73,1,1,1,3,Hibernating,2,0
10054,4,28,3193.0,5,4,2,11,Champions,0,0
10055,23,22,2766.08,3,2,1,6,Potential Loyalists,3,0
10056,99,23,3727.9,1,2,3,6,Hibernating,4,1
10057,10,29,5573.35,4,5,5,14,Champions,5,0
10058,32,21,3575.84,2,2,3,7,Hibernating,3,0
10059,55,13,2869.43,1,1,1,3,Hibernating,2,0
10060,26,17,3884.08,3,1,3,7,Potential Loyalists,3,0
10061,12,31,5365.08,4,5,5,14,Champions,5,0
10062,44,18,3091.35,2,1,2,5,Hibernating,2,0
10063,15,27,2861.86,4,4,1,9,Champions,3,0
10064,22,25,3300.63,3,3,2,8,Loyal Customers,3,0
10065,47,22,4143.28,2,2,4,8,Hibernating,1,0
10066,55,27,4984.98,1,4,5,10,At-Risk,1,0
10067,83,25,4238.32,1,3,4,8,At-Risk,1,0
10068,43,15,1967.8200000000002,2,1,1,4,Hibernating,2,0
10069,18,26,4780.8099999999995,3,4,4,11,Loyal Customers,0,0
10070,19,23,3957.65,3,2,3,8,Potential Loyalists,3,0
10071,29,23,3129.7,3,2,2,7,Potential Loyalists,3,0
10072,29,22,2654.11,3,2,1,6,Potential Loyalists,3,0
10073,33,18,3678.87,2,1,3,6,Hibernating,2,0
10074,66,30,3826.03,1,5,3,9,At-Risk,1,0
10075,80,17,1482.69,1,1,1,3,Hibernating,2,0
10076,55,21,2795.04,1,2,1,4,Hibernating,2,0
10077,64,32,5533.18,1,5,5,11,At-Risk,5,0
10078,22,23,4425.52,3,2,4,9,Potential Loyalists,0,0
10079,13,21,4619.75,4,2,4,10,New Customers,3,0
10080,5,22,4487.21,5,2,4,11,New Customers,0,0
10081,1,15,1778.25,5,1,1,7,New Customers,2,0
10082,23,28,5928.73,3,4,5,12,Loyal Customers,5,0
10083,3,25,2876.01,5,3,1,9,Loyal Customers,3,0
10084,2,28,4878.95,5,4,5,14,Champions,0,0
10085,1,26,4861.81,5,4,5,14,Champions,0,0
10086,18,24,5759.14,3,3,5,11,Loyal Customers,0,0
10087,53,21,2786.34,1,2,1,4,Hibernating,2,0
10088,5,23,3948.63,5,2,3,10,New Customers,3,0
10089,48,21,2754.46,2,2,1,5,Hibernating,2,0
10090,24,18,3596.11,3,1,3,7,Potential Loyalists,3,0
10091,7,21,3085.9700000000003,5,2,2,9,New Customers,3,0
10092,8,24,2736.03,5,3,1,9,Loyal Customers,3,0
10093,7,27,5461.21,5,4,5,14,Champions,0,0
10094,34,20,3805.43,2,1,3,6,Hibernating,3,0
10095,52,18,2400.55,1,1,1,3,Hibernating,2,0
10096,2,30,4515.99,5,5,4,14,Champions,0,0
10097,37,13,2948.89,2,1,2,5,Hibernating,2,0
10098,29,23,4283.26,3,2,4,9,Potential Loyalists,0,0
10099,57,31,4375.12,1,5,4,10,At-Risk,1,0
10100,46,26,5237.67,2,4,5,11,At-Risk,0,0
10101,109,26,4589.98,1,4,4,9,At-Risk,1,1
10102,22,19,2339.17,3,1,1,5,Potential Loyalists,2,0
10103,16,23,4506.1900000000005,4,2,4,10,New Customers,0,0
10104,58,17,1804.65,1,1,1,3,Hibernating,2,0
10105,36,16,3384.0,2,1,2,5,Hibernating,2,0
10106,79,19,2511.82,1,1,1,3,Hibernating,4,0
10107,24,24,5026.0,3,3,5,11,Loyal Customers,0,0
10108,23,25,4287.47,3,3,4,10,Loyal Customers,0,0
10109,3,27,4825.71,5,4,5,14,Champions,0,0
10110,60,18,3595.48,1,1,3,5,Hibernating,2,0
10111,21,21,4351.76,3,2,4,9,Potential Loyalists,3,0
10112,13,30,4295.8,4,5,4,13,Champions,0,0
10113,52,18,3437.8900000000003,1,1,2,4,Hibernating,2,0
10114,10,27,4741.04,4,4,4,12,Champions,0,0
10115,10,24,3516.49,4,3,2,9,Loyal Customers,3,0
10116,35,27,3599.72,2,4,3,9,At-Risk,0,0
10117,1,26,4877.97,5,4,5,14,Champions,0,0
10118,5,22,4268.86,5,2,4,11,New Customers,3,0
10119,62,22,3957.57,1,2,3,6,Hibernating,1,0
10120,37,31,4978.7,2,5,5,12,At-Risk,5,0
10121,33,22,4178.35,2,2,4,8,Hibernating,3,0
10122,9,21,3280.9700000000003,4,2,2,8,New Customers,3,0
10123,65,25,4566.43,1,3,4,8,At-Risk,1,0
10124,9,22,3893.77,4,2,3,9,New Customers,3,0
10125,40,26,3561.19,2,4,3,9,At-Risk,1,0
10126,3,25,3804.69,5,3,3,11,Loyal Customers,0,0
10127,29,28,3710.01,3,4,3,10,Loyal Customers,0,0
10128,15,25,5668.03,4,3,5,12,Loyal Customers,0,0
10129,11,23,4374.37,4,2,4,10,New Customers,0,0
10130,88,29,5597.65,1,5,5,11,At-Risk,1,0
10131,31,27,4106.28,2,4,4,10,At-Risk,0,0
10132,7,27,3364.56,5,4,2,11,Champions,0,0
10133,1,27,5503.3,5,4,5,14,Champions,0,0
10134,18,28,4771.16,3,4,4,11,Loyal Customers,0,0
10135,31,35,6488.63,2,5,5,12,At-Risk,5,0
10136,30,22,4444.42,2,2,4,8,Hibernating,0,0
10137,31,25,3086.62,2,3,2,7,At-Risk,3,0
10138,42,19,3100.14,2,1,2,5,Hibernating,2,0
10139,11,23,3776.33,4,2,3,9,New Customers,3,0
10140,27,30,5704.25,3,5,5,13,Loyal Customers,5,0
10141,71,29,5910.93,1,5,5,11,At-Risk,5,0
10142,58,18,2409.2599999999998,1,1,1,3,Hibernating,2,0
10143,5,21,2682.49,5,2,1,8,New Customers,3,0
10144,1,18,2705.78,5,1,1,7,New Customers,2,0
10145,16,24,4790.23,4,3,4,11,Loyal Customers,0,0
10146,79,26,2780.09,1,4,1,6,At-Risk,1,0
10147,36,27,3837.83,2,4,3,9,At-Risk,0,0
10148,21,32,7126.58,3,5,5,13,Loyal Customers,5,0
10149,81,18,2476.1800000000003,1,1,1,3,Hibernating,4,0
10150,40,34,6335.7,2,5,5,12,At-Risk,5,0
10151,3,21,2849.71,5,2,1,8,New Customers,3,0
10152,5,23,2765.87,5,2,1,8,New Customers,3,0
10153,15,21,2910.8599999999997,4,2,1,7,New Customers,3,0
10154,3,22,4071.24,5,2,4,11,New Customers,3,0
10155,17,27,4893.82,4,4,5,13,Champions,0,0
10156,46,33,5825.75,2,5,5,12,At-Risk,5,0
10157,57,21,2736.69,1,2,1,4,Hibernating,2,0
10158,11,25,4242.11,4,3,4,11,Loyal Customers,0,0
10159,8,24,5191.33,5,3,5,13,Loyal Customers,0,0
10160,66,18,2104.21,1,1,1,3,Hibernating,2,0
10161,15,20,2205.84,4,1,1,6,New Customers,2,0
10162,33,19,2374.57,2,1,1,4,Hibernating,2,0
10163,8,24,2906.3100000000004,5,3,1,9,Loyal Customers,3,0
10164,69,23,3101.2400000000002,1,2,2,5,Hibernating,1,0
10165,74,17,1921.3400000000001,1,1,1,3,Hibernating,2,0
10166,60,25,3472.7999999999997,1,3,2,6,At-Risk,1,0
10167,143,29,3998.6,1,5,3,9,At-Risk,4,1
10168,4,26,4005.49,5,4,3,12,Champions,0,0
10169,30,22,4170.4,2,2,4,8,Hibernating,3,0
10170,174,22,3789.29,1,2,3,6,Hibernating,4,1
10171,14,25,4295.52,4,3,4,11,Loyal Customers,0,0
10172,39,19,3247.43,2,1,2,5,Hibernating,2,0
10173,56,20,2915.08,1,1,1,3,Hibernating,2,0
10174,18,26,3294.4,3,4,2,9,Loyal Customers,3,0
10175,29,15,1869.19,3,1,1,5,Potential Loyalists,2,0
10176,15,21,3429.7400000000002,4,2,2,8,New Customers,3,0
10177,51,19,3009.53,1,1,2,4,Hibernating,2,0
10178,11,18,2445.4500000000003,4,1,1,6,New Customers,2,0
10179,15,20,3274.12,4,1,2,7,New Customers,3,0
10180,8,29,4086.0,5,5,4,14,Champions,0,0
10181,18,28,5760.06,3,4,5,12,Loyal Customers,5,0
10182,21,26,3838.2000000000003,3,4,3,10,Loyal Customers,0,0
10183,15,25,2770.94,4,3,1,8,Loyal Customers,3,0
10184,29,20,4631.18,3,1,4,8,Potential Loyalists,3,0
10185,1,26,3891.91,5,4,3,12,Champions,0,0
10186,26,18,2129.4700000000003,3,1,1,5,Potential Loyalists,2,0
10187,49,22,4240.71,2,2,4,8,Hibernating,1,0
10188,6,27,5184.53,5,4,5,14,Champions,0,0
10189,33,20,4205.900000000001,2,1,4,7,Hibernating,3,0
10190,24,24,3962.26,3,3,3,9,Loyal Customers,3,0
10191,22,17,1630.23,3,1,1,5,Potential Loyalists,2,0
10192,2,18,2065.06,5,1,1,7,New Customers,2,0
10193,63,23,3112.6,1,2,2,5,Hibernating,1,0
10194,63,22,3345.58,1,2,2,5,Hibernating,1,0
10195,21,23,3273.72,3,2,2,7,Potential Loyalists,3,0
10196,34,31,3286.33,2,5,2,9,At-Risk,0,0
10197,45,18,2948.63,2,1,2,5,Hibernating,2,0
10198,21,34,6728.73,3,5,5,13,Loyal Customers,5,0
10199,26,23,3145.54,3,2,2,7,Potential Loyalists,3,0
10200,4,25,4103.84,5,3,4,12,Loyal Customers,0,0
10201,40,27,4624.38,2,4,4,10,At-Risk,0,0
10202,15,29,4805.51,4,5,5,14,Champions,0,0
10203,18,29,4852.0,3,5,5,13,Loyal Customers,0,0
10204,29,27,4907.57,3,4,5,12,Loyal Customers,0,0
10205,36,29,5260.55,2,5,5,12,At-Risk,5,0
10206,26,22,2493.58,3,2,1,6,Potential Loyalists,3,0
10207,16,21,3636.89,4,2,3,9,New Customers,3,0
10208,56,17,2067.21,1,1,1,3,Hibernating,2,0
10209,2,26,3587.92,5,4,3,12,Champions,0,0
10210,4,25,2874.07,5,3,1,9,Loyal Customers,3,0
10211,48,22,5450.91,2,2,5,9,Hibernating,1,0
10212,5,20,4382.84,5,1,4,10,New Customers,3,0
10213,23,23,3289.42,3,2,2,7,Potential Loyalists,3,0
10214,1,20,3193.06,5,1,2,8,New Customers,3,0
10215,30,24,3215.48,2,3,2,7,At-Risk,3,0
10216,6,24,2660.7,5,3,1,9,Loyal Customers,3,0
10217,9,35,5830.17,4,5,5,14,Champions,5,0
10218,22,24,2643.93,3,3,1,7,Loyal Customers,3,0
10219,25,22,4511.88,3,2,4,9,Potential Loyalists,0,0
10220,28,19,3556.02,3,1,3,7,Potential Loyalists,3,0
10221,13,28,4127.82,4,4,4,12,Champions,0,0
10222,1,26,4848.57,5,4,5,14,Champions,0,0
10223,87,27,3272.37,1,4,2,7,At-Risk,1,0
10224,1,34,5650.71,5,5,5,15,Champions,5,0
10225,65,21,5596.44,1,2,5,8,Hibernating,1,0
10226,42,23,2217.99,2,2,1,5,Hibernating,2,0
10227,102,22,4226.38,1,2,4,7,Hibernating,4,1
10228,28,28,4664.91,3,4,4,11,Loyal Customers,0,0
10229,25,33,4718.86,3,5,4,12,Loyal Customers,5,0
10230,32,13,3185.64,2,1,2,5,Hibernating,2,0
10231,6,20,2139.32,5,1,1,7,New Customers,2,0
10232,32,27,3639.58,2,4,3,9,At-Risk,0,0
10233,72,26,3265.89,1,4,2,7,At-Risk,1,0
10234,5,15,2918.3,5,1,1,7,New Customers,2,0
10235,32,24,3255.06,2,3,2,7,At-Risk,3,0
10236,7,30,4651.89,5,5,4,14,Champions,0,0
10237,58,31,4964.12,1,5,5,11,At-Risk,5,0
10238,8,22,3107.02,5,2,2,9,New Customers,3,0
10239,2,28,3429.58,5,4,2,11,Champions,0,0
10240,4,25,4507.79,5,3,4,12,Loyal Customers,0,0
10241,11,25,3660.92,4,3,3,10,Loyal Customers,3,0
10242,18,15,2245.38,3,1,1,5,Potential Loyalists,2,0
10243,31,19,2902.35,2,1,1,4,Hibernating,2,0
10244,107,22,3388.67,1,2,2,5,Hibernating,4,1
10245,17,29,5815.05,4,5,5,14,Champions,5,0
10246,48,20,2697.44,2,1,1,4,Hibernating,2,0
10247,72,18,3336.2400000000002,1,1,2,4,Hibernating,2,0
10248,11,21,3920.4,4,2,3,9,New Customers,3,0
10249,4,23,3428.44,5,2,2,9,New Customers,3,0
10250,26,34,5993.0,3,5,5,13,Loyal Customers,5,0
10251,10,15,1885.72,4,1,1,6,New Customers,2,0
10252,65,19,2715.6600000000003,1,1,1,3,Hibernating,2,0
10253,50,31,4157.3,1,5,4,10,At-Risk,1,0
10254,16,17,2609.66,4,1,1,6,New Customers,2,0
10255,2,23,3502.56,5,2,2,9,New Customers,3,0
10256,35,22,4473.36,2,2,4,8,Hibernating,1,0
10257,1,22,2835.27,5,2,1,8,New Customers,3,0
10258,36,20,3445.13,2,1,2,5,Hibernating,3,0
10259,8,20,3101.73,5,1,2,8,New Customers,3,0
10260,12,24,3687.97,4,3,3,10,Loyal Customers,3,0
10261,11,20,2242.75,4,1,1,6,New Customers,2,0
10262,17,26,4336.2,4,4,4,12,Champions,0,0
10263,8,29,3834.13,5,5,3,13,Champions,0,0
10264,17,21,3388.1800000000003,4,2,2,8,New Customers,3,0
10265,34,22,4673.28,2,2,4,8,Hibernating,0,0
10266,40,30,5444.1900000000005,2,5,5,12,At-Risk,5,0
10267,60,26,4400.5,1,4,4,9,At-Risk,1,0
10268,48,22,3210.48,2,2,2,6,Hibernating,1,0
10269,7,28,5524.68,5,4,5,14,Champions,5,0
10270,6,18,4623.46,5,1,4,10,New Customers,3,0
10271,66,25,3421.74,1,3,2,6,At-Risk,1,0
10272,27,29,7064.9800000000005,3,5,5,13,Loyal Customers,5,0
10273,24,20,3125.15,3,1,2,6,Potential Loyalists,3,0
10274,13,21,2784.08,4,2,1,7,New Customers,3,0
10275,47,19,2651.27,2,1,1,4,Hibernating,2,0
10276,15,26,4388.55,4,4,4,12,Champions,0,0
10277,15,20,2381.47,4,1,1,6,New Customers,2,0
10278,79,21,4570.47,1,2,4,7,Hibernating,1,0
10279,20,29,3845.11,3,5,3,11,Loyal Customers,0,0
10280,37,27,4201.0,2,4,4,10,At-Risk,0,0
10281,91,20,3132.15,1,1,2,4,Hibernating,4,1
10282,18,29,3852.12,3,5,3,11,Loyal Customers,0,0
10283,20,21,3688.29,3,2,3,8,Potential Loyalists,3,0
10284,48,31,4509.22,2,5,4,11,At-Risk,5,0
10285,26,20,5088.57,3,1,5,9,Potential Loyalists,0,0
10286,2,25,4994.82,5,3,5,13,Loyal Customers,0,0
10287,16,24,4069.93,4,3,4,11,Loyal Customers,0,0
10288,69,18,2945.48,1,1,2,4,Hibernating,2,0
10289,21,24,2219.56,3,3,1,7,Loyal Customers,3,0
10290,24,27,4556.64,3,4,4,11,Loyal Customers,0,0
10291,15,22,2951.34,4,2,2,8,New Customers,3,0
10292,12,26,3963.56,4,4,3,11,Champions,0,0
10293,33,21,2716.02,2,2,1,5,Hibernating,2,0
10294,5,28,6044.55,5,4,5,14,Champions,5,0
10295,38,18,2781.34,2,1,1,4,Hibernating,2,0
10296,11,23,4320.31,4,2,4,10,New Customers,0,0
10297,66,23,5110.29,1,2,5,8,Hibernating,1,0
10298,1,19,3332.7200000000003,5,1,2,8,New Customers,3,0
10299,36,24,2831.8,2,3,1,6,At-Risk,3,0
10300,65,19,2936.17,1,1,1,3,Hibernating,2,0
10301,90,19,3474.45,1,1,2,4,Hibernating,4,0
10302,11,22,2914.47,4,2,1,7,New Customers,3,0
10303,36,33,4329.03,2,5,4,11,At-Risk,5,0
10304,1,25,3624.86,5,3,3,11,Loyal Customers,3,0
10305,8,23,3020.7000000000003,5,2,2,9,New Customers,3,0
10306,3,26,5613.49,5,4,5,14,Champions,0,0
10307,27,16,2566.89,3,1,1,5,Potential Loyalists,2,0
10308,12,24,4013.75,4,3,3,10,Loyal Customers,0,0
10309,25,22,2588.71,3,2,1,6,Potential Loyalists,3,0
10310,2,32,3824.29,5,5,3,13,Champions,0,0
10311,3,22,3652.58,5,2,3,10,New Customers,3,0
10312,26,26,3802.32,3,4,3,10,Loyal Customers,0,0
10313,1,29,3422.9700000000003,5,5,2,12,Champions,0,0
10314,14,24,4241.68,4,3,4,11,Loyal Customers,0,0
10315,12,21,2968.42,4,2,2,8,New Customers,3,0
10316,75,24,4346.44,1,3,4,8,At-Risk,1,0
10317,12,18,1517.01,4,1,1,6,New Customers,2,0
10318,11,33,5314.02,4,5,5,14,Champions,5,0
10319,26,24,4083.5,3,3,4,10,Loyal Customers,0,0
10320,74,26,3231.58,1,4,2,7,At-Risk,1,0
10321,11,28,3186.36,4,4,2,10,Champions,0,0
10322,66,20,1781.05,1,1,1,3,Hibernating,2,0
10323,40,25,6015.5,2,3,5,10,At-Risk,5,0
10324,7,30,4249.78,5,5,4,14,Champions,0,0
10325,61,25,5147.7699999999995,1,3,5,9,At-Risk,1,0
10326,19,28,4555.7300000000005,3,4,4,11,Loyal Customers,0,0
10327,7,21,2675.6,5,2,1,8,New Customers,3,0
10328,11,32,5346.43,4,5,5,14,Champions,5,0
10329,23,15,2555.8599999999997,3,1,1,5,Potential Loyalists,2,0
10330,52,18,2481.22,1,1,1,3,Hibernating,2,0
10331,2,31,4259.44,5,5,4,14,Champions,0,0
10332,6,27,6034.9800000000005,5,4,5,14,Champions,5,0
10333,52,21,3681.24,1,2,3,6,Hibernating,1,0
10334,31,32,6067.85,2,5,5,12,At-Risk,5,0
10335,37,33,6119.63,2,5,5,12,At-Risk,5,0
10336,9,20,2338.15,4,1,1,6,New Customers,2,0
10337,65,14,2550.26,1,1,1,3,Hibernating,2,0
10338,62,19,3438.88,1,1,2,4,Hibernating,1,0
10339,17,30,4673.38,4,5,4,13,Champions,0,0
10340,21,22,2482.39,3,2,1,6,Potential Loyalists,3,0
10341,38,23,3263.29,2,2,2,6,Hibernating,3,0
10342,47,31,4701.64,2,5,4,11,At-Risk,5,0
10343,70,28,4568.34,1,4,4,9,At-Risk,1,0
10344,8,18,2414.19,5,1,1,7,New Customers,2,0
10345,17,27,3566.85,4,4,3,11,Champions,0,0
10346,11,35,8353.97,4,5,5,14,Champions,5,0
10347,10,25,3978.5,4,3,3,10,Loyal Customers,0,0
10348,1,26,3775.1899999999996,5,4,3,12,Champions,0,0
10349,41,27,2999.01,2,4,2,8,At-Risk,1,0
10350,8,27,5191.89,5,4,5,14,Champions,0,0
10351,7,23,3294.25,5,2,2,9,New Customers,3,0
10352,3,22,3714.98,5,2,3,10,New Customers,3,0
10353,17,25,3983.76,4,3,3,10,Loyal Customers,0,0
10354,6,21,2633.68,5,2,1,8,New Customers,3,0
10355,6,26,3638.83,5,4,3,12,Champions,0,0
10356,11,26,3845.1800000000003,4,4,3,11,Champions,0,0
10357,11,28,5051.36,4,4,5,13,Champions,0,0
10358,22,19,2870.1,3,1,1,5,Potential Loyalists,2,0
10359,15,25,4200.59,4,3,4,11,Loyal Customers,0,0
10360,29,28,5286.32,3,4,5,12,Loyal Customers,5,0
10361,7,30,4129.01,5,5,4,14,Champions,0,0
10362,48,22,2803.66,2,2,1,5,Hibernating,2,0
10363,45,26,3491.26,2,4,2,8,At-Risk,1,0
10364,22,17,2637.28,3,1,1,5,Potential Loyalists,2,0
10365,65,23,2057.02,1,2,1,4,Hibernating,2,0
10366,30,32,5271.59,2,5,5,12,At-Risk,5,0
10367,5,25,4762.02,5,3,4,12,Loyal Customers,0,0
10368,32,27,3972.3,2,4,3,9,At-Risk,0,0
10369,22,25,4273.1,3,3,4,10,Loyal Customers,0,0
10370,25,33,5658.5199999999995,3,5,5,13,Loyal Customers,5,0
10371,7,24,3541.9900000000002,5,3,3,11,Loyal Customers,3,0
10372,12,24,2485.3,4,3,1,8,Loyal Customers,3,0
10373,24,27,5562.51,3,4,5,12,Loyal Customers,5,0
10374,30,23,3534.72,2,2,3,7,Hibernating,3,0
10375,12,31,3837.29,4,5,3,12,Champions,0,0
10376,97,23,4764.53,1,2,4,7,Hibernating,1,1
10377,1,30,5592.6,5,5,5,15,Champions,5,0
10378,28,27,4116.39,3,4,4,11,Loyal Customers,0,0
10379,8,21,5762.01,5,2,5,12,New Customers,0,0
10380,93,24,2920.19,1,3,1,5,At-Risk,4,1
10381,2,17,2223.77,5,1,1,7,New Customers,2,0
10382,187,16,2610.5099999999998,1,1,1,3,Hibernating,4,1
10383,16,38,5245.21,4,5,5,14,Champions,5,0
10384,15,24,4006.1,4,3,3,10,Loyal Customers,0,0
10385,24,20,3536.29,3,1,3,7,Potential Loyalists,3,0
10386,3,24,2976.0,5,3,2,10,Loyal Customers,3,0
10387,9,30,4137.93,4,5,4,13,Champions,0,0
10388,23,22,3304.4,3,2,2,7,Potential Loyalists,3,0
10389,7,22,3027.91,5,2,2,9,New Customers,3,0
10390,1,18,2911.83,5,1,1,7,New Customers,3,0
10391,66,25,3916.08,1,3,3,7,At-Risk,1,0
10392,1,26,3350.66,5,4,2,11,Champions,3,0
10393,63,20,3173.55,1,1,2,4,Hibernating,1,0
10394,30,22,4758.55,2,2,4,8,Hibernating,0,0
10395,27,23,3487.86,3,2,2,7,Potential Loyalists,3,0
10396,3,24,3801.99,5,3,3,11,Loyal Customers,3,0
10397,13,24,4964.58,4,3,5,12,Loyal Customers,0,0
10398,7,21,3037.5099999999998,5,2,2,9,New Customers,3,0
10399,8,22,3107.8199999999997,5,2,2,9,New Customers,3,0
10400,26,19,6070.55,3,1,5,9,Potential Loyalists,0,0
10401,2,27,5486.91,5,4,5,14,Champions,0,0
10402,46,24,4797.42,2,3,4,9,At-Risk,1,0
10403,36,27,4548.08,2,4,4,10,At-Risk,0,0
10404,250,24,3388.5299999999997,1,3,2,6,At-Risk,4,1
10405,20,25,3771.81,3,3,3,9,Loyal Customers,3,0
10406,48,20,2768.04,2,1,1,4,Hibernating,2,0
10407,39,20,2952.81,2,1,2,5,Hibernating,2,0
10408,50,37,7572.5199999999995,1,5,5,11,At-Risk,5,0
10409,25,19,3841.62,3,1,3,7,Potential Loyalists,3,0
10410,6,17,3927.33,5,1,3,9,New Customers,3,0
10411,6,17,2067.57,5,1,1,7,New Customers,2,0
10412,61,22,3974.59,1,2,3,6,Hibernating,1,0
10413,73,11,2244.7999999999997,1,1,1,3,Hibernating,2,0
10414,43,20,3835.29,2,1,3,6,Hibernating,1,0
10415,28,17,2806.77,3,1,1,5,Potential Loyalists,2,0
10416,18,27,3691.64,3,4,3,10,Loyal Customers,0,0
10417,23,27,4450.51,3,4,4,11,Loyal Customers,0,0
10418,4,23,3802.62,5,2,3,10,New Customers,3,0
10419,31,19,1730.99,2,1,1,4,Hibernating,2,0
10420,2,25,5173.76,5,3,5,13,Loyal Customers,0,0
10421,32,17,2603.35,2,1,1,4,Hibernating,2,0
10422,14,34,3768.9300000000003,4,5,3,12,Champions,0,0
10423,18,20,2750.34,3,1,1,5,Potential Loyalists,2,0
10424,41,19,2465.77,2,1,1,4,Hibernating,2,0
10425,11,30,5079.91,4,5,5,14,Champions,5,0
10426,16,25,2566.42,4,3,1,8,Loyal Customers,3,0
10427,25,26,2895.3199999999997,3,4,1,8,Loyal Customers,3,0
10428,27,20,3022.4900000000002,3,1,2,6,Potential Loyalists,2,0
10429,38,18,3392.64,2,1,2,5,Hibernating,2,0
10430,17,24,5028.83,4,3,5,12,Loyal Customers,0,0
10431,73,23,4084.67,1,2,4,7,Hibernating,1,0
10432,63,23,4621.74,1,2,4,7,Hibernating,1,0
10433,75,26,4947.16,1,4,5,10,At-Risk,1,0
10434,1,35,5272.4,5,5,5,15,Champions,5,0
10435,9,15,2389.46,4,1,1,6,New Customers,2,0
10436,53,31,6246.54,1,5,5,11,At-Risk,5,0
10437,11,29,6027.8099999999995,4,5,5,14,Champions,5,0
10438,13,20,4658.24,4,1,4,9,New Customers,3,0
10439,16,28,5327.47,4,4,5,13,Champions,5,0
10440,62,23,3426.52,1,2,2,5,Hibernating,1,0
10441,37,23,3886.13,2,2,3,7,Hibernating,1,0
10442,27,25,2650.6600000000003,3,3,1,7,Loyal Customers,3,0
10443,23,28,4388.22,3,4,4,11,Loyal Customers,0,0
10444,49,18,2474.2799999999997,2,1,1,4,Hibernating,2,0
10445,65,26,4067.17,1,4,3,8,At-Risk,1,0
10446,48,22,3260.42,2,2,2,6,Hibernating,1,0
10447,49,13,1611.58,2,1,1,4,Hibernating,2,0
10448,46,18,2478.78,2,1,1,4,Hibernating,2,0
10449,35,25,3481.5099999999998,2,3,2,7,At-Risk,3,0
10450,13,26,3816.6200000000003,4,4,3,11,Champions,0,0
10451,23,21,2857.84,3,2,1,6,Potential Loyalists,3,0
10452,16,22,5110.6,4,2,5,11,New Customers,0,0
