CustomerID,Country,Segment
10260,United Kingdom,New
10261,United Kingdom,Loyal
10262,United Kingdom,Potential
10263,USA,Champions
10264,United Kingdom,At-Risk
10265,United Kingdom,Potential
10266,United Kingdom,Champions
10267,Australia,Potential
10268,Australia,New
10269,USA,Potential
10270,Netherlands,New
10271,Australia,Champions
10272,France,Loyal
10273,France,At-Risk
10274,USA,Potential
10275,United Kingdom,Champions
10276,Belgium,Potential
10277,Australia,New
10278,United Kingdom,At-Risk
10279,Japan,Champions
10280,United Kingdom,Champions
10281,United Kingdom,At-Risk
10282,United Kingdom,Loyal
10283,Germany,Hibernating
10284,Spain,Loyal
10285,United Kingdom,Champions
10286,France,New
10287,France,Loyal
10288,United Kingdom,Hibernating
10289,United Kingdom,New
10290,France,New
10291,United Kingdom,Champions
10292,Japan,New
10293,Japan,Potential
10294,Germany,Champions
10295,United Kingdom,At-Risk
10296,USA,At-Risk
10297,France,New
10298,Spain,New
10299,Australia,Loyal
10300,USA,New
10301,United Kingdom,New
10302,Germany,Hibernating
10303,United Kingdom,Potential
10304,United Kingdom,Potential
10305,United Kingdom,Champions
10306,Germany,Potential
10307,Belgium,Champions
10308,Japan,Potential
10309,United Kingdom,At-Risk
10310,Belgium,Loyal
10311,France,At-Risk
10312,United Kingdom,Loyal
10313,France,Potential
10314,Netherlands,Potential
10315,Spain,Loyal
10316,France,Potential
10317,France,At-Risk
10318,Belgium,Champions
10319,Germany,Potential
10320,United Kingdom,At-Risk
10321,United Kingdom,New
10322,United Kingdom,Loyal
10323,Belgium,At-Risk
10324,Germany,At-Risk
10325,Switzerland,At-Risk
10326,Japan,New
10327,USA,At-Risk
10328,Netherlands,At-Risk
10329,Switzerland,New
10330,USA,Loyal
10331,Netherlands,Loyal
10332,Australia,Potential
10333,Spain,New
10334,USA,Hibernating
10335,United Kingdom,New
10336,United Kingdom,Hibernating
10337,United Kingdom,At-Risk
10338,Spain,Potential
10339,United Kingdom,New
10340,Switzerland,At-Risk
10341,United Kingdom,Loyal
10342,United Kingdom,Hibernating
10343,Japan,Hibernating
10344,United Kingdom,Hibernating
10345,United Kingdom,Champions
10346,France,New
10347,Japan,At-Risk
10348,France,Champions
10349,United Kingdom,Champions
10350,United Kingdom,New
10351,United Kingdom,Loyal
10352,Japan,Loyal
10353,United Kingdom,At-Risk
10354,Spain,Potential
10355,Spain,Hibernating
10356,United Kingdom,Potential
10357,Netherlands,New
10358,France,New
10359,France,At-Risk
10360,United Kingdom,At-Risk
10361,United Kingdom,New
10362,USA,At-Risk
10363,United Kingdom,Potential
10364,United Kingdom,Potential
10365,United Kingdom,New
10366,United Kingdom,Champions
10367,USA,New
10368,United Kingdom,Loyal
10369,France,Hibernating
10370,USA,Champions
10371,Belgium,Loyal
10372,USA,Hibernating
10373,United Kingdom,Hibernating
10374,United Kingdom,Loyal
10375,Switzerland,Loyal
10376,United Kingdom,Loyal
10377,Belgium,Hibernating
10378,United Kingdom,Loyal
10379,USA,Hibernating
10380,United Kingdom,Loyal
10381,United Kingdom,Champions
10382,United Kingdom,At-Risk
10383,Belgium,Loyal
10384,France,Champions
10385,United Kingdom,Champions
10386,United Kingdom,New
10387,Germany,Potential
10388,United Kingdom,New
10389,Belgium,Hibernating
10390,France,New
10391,Germany,Hibernating
10392,United Kingdom,Potential
10393,Germany,New
10394,France,Champions
10395,United Kingdom,New
10396,Australia,New
10397,Spain,New
10398,Netherlands,New
10399,United Kingdom,Champions
10400,United Kingdom,Loyal
10401,United Kingdom,At-Risk
10402,France,Hibernating
10403,Germany,At-Risk
10404,United Kingdom,Hibernating
10405,Germany,New
10406,Germany,New
10407,United Kingdom,Potential
10408,United Kingdom,Potential
10409,France,Hibernating
10410,Netherlands,Loyal
10411,United Kingdom,Loyal
10412,United Kingdom,New
10413,United Kingdom,Potential
10414,United Kingdom,New
10415,United Kingdom,At-Risk
10416,United Kingdom,Loyal
10417,Spain,New
10418,United Kingdom,Champions
10419,United Kingdom,Champions
10420,Netherlands,At-Risk
10421,Switzerland,Hibernating
10422,United Kingdom,Hibernating
10423,Germany,Potential
10424,United Kingdom,At-Risk
10425,Australia,New
10426,Australia,Potential
10427,United Kingdom,At-Risk
10428,France,At-Risk
10429,United Kingdom,Hibernating
10430,United Kingdom,Potential
10431,United Kingdom,Champions
10432,United Kingdom,Hibernating
10433,United Kingdom,At-Risk
10434,Germany,New
10435,Australia,Hibernating
10436,France,Potential
10437,Germany,Hibernating
10438,Japan,Potential
10439,United Kingdom,Loyal
10440,United Kingdom,At-Risk
10441,Japan,At-Risk
10442,United Kingdom,Loyal
10443,Germany,New
10444,United Kingdom,Potential
10445,France,Champions
10446,United Kingdom,Hibernating
10447,United Kingdom,New
10448,United Kingdom,Loyal
10449,United Kingdom,Potential
10450,United Kingdom,Hibernating
10451,France,Champions
10452,United Kingdom,Hibernating
10453,United Kingdom,Champions
10454,United Kingdom,Potential
10455,United Kingdom,Hibernating
10456,United Kingdom,At-Risk
10457,United Kingdom,Hibernating
10458,United Kingdom,New
10459,United Kingdom,Potential
10460,Spain,New
10461,Germany,At-Risk
10462,United Kingdom,New
10463,USA,Champions
10464,United Kingdom,At-Risk
10465,USA,Loyal
10466,Belgium,At-Risk
10467,United Kingdom,Champions
10468,United Kingdom,New
10469,United Kingdom,New
10470,Germany,Loyal
10471,Germany,Potential
10472,Switzerland,Champions
10473,United Kingdom,Potential
10474,United Kingdom,Champions
10475,United Kingdom,Champions
10476,Australia,Hibernating
10477,United Kingdom,New
10478,Spain,New
10479,United Kingdom,New
10480,United Kingdom,At-Risk
10481,United Kingdom,Hibernating
10482,United Kingdom,Potential
10483,Japan,Champions
10484,United Kingdom,Champions
10485,United Kingdom,Hibernating
10486,United Kingdom,Champions
10487,United Kingdom,At-Risk
10488,Netherlands,Loyal
10489,United Kingdom,Loyal
10490,United Kingdom,Potential
10491,United Kingdom,Hibernating
10492,United Kingdom,At-Risk
10493,United Kingdom,Potential
10494,Switzerland,Loyal
10495,United Kingdom,At-Risk
10496,United Kingdom,Hibernating
10497,United Kingdom,Potential
10498,United Kingdom,Potential
10499,United Kingdom,Hibernating
10500,Netherlands,New
10501,Spain,Hibernating
10502,France,Hibernating
10503,United Kingdom,Potential
10504,United Kingdom,New
10505,United Kingdom,New
10506,France,At-Risk
10507,France,At-Risk
10508,Germany,At-Risk
10509,United Kingdom,Champions
10510,United Kingdom,At-Risk
10511,United Kingdom,Champions
10512,France,Hibernating
10513,United Kingdom,Hibernating
10514,Germany,Potential
10515,Japan,New
10516,Japan,Hibernating
10517,France,At-Risk
10518,France,Hibernating
10519,United Kingdom,Champions
10520,United Kingdom,At-Risk
10521,USA,Champions
10522,Germany,Loyal
10523,United Kingdom,Potential
10524,United Kingdom,New
10525,Germany,Hibernating
10526,United Kingdom,At-Risk
10527,Japan,New
10528,United Kingdom,At-Risk
10529,Spain,Champions
10530,Belgium,Potential
10531,United Kingdom,At-Risk
10532,United Kingdom,Potential
10533,United Kingdom,At-Risk
10534,Netherlands,Potential
10535,USA,Hibernating
10536,Australia,At-Risk
10537,United Kingdom,Potential
10538,United Kingdom,At-Risk
10539,United Kingdom,Potential
10540,Spain,New
10541,United Kingdom,Potential
10542,Japan,At-Risk
10543,Germany,Potential
10544,Belgium,Loyal
10545,Spain,Potential
10546,USA,Hibernating
10547,United Kingdom,Potential
10548,United Kingdom,At-Risk
10549,United Kingdom,At-Risk
10550,United Kingdom,Loyal
10551,United Kingdom,New
10552,United Kingdom,Loyal
10553,United Kingdom,At-Risk
10554,Australia,Champions
10555,Germany,Hibernating
10556,Switzerland,Hibernating
10557,United Kingdom,At-Risk
10558,Australia,Hibernating
10559,United Kingdom,New
10560,United Kingdom,Loyal
10561,Switzerland,Hibernating
10562,Switzerland,Loyal
10563,Netherlands,Champions
10564,United Kingdom,Potential
10565,Netherlands,New
10566,France,Potential
10567,Belgium,Loyal
10568,Germany,At-Risk
10569,USA,New
10570,Japan,Loyal
10571,United Kingdom,Hibernating
10572,USA,New
10573,Belgium,New
10574,Germany,New
10575,USA,Loyal
10576,Switzerland,Loyal
10577,Australia,Champions
10578,France,At-Risk
10579,Germany,Champions
10580,Netherlands,Hibernating
10581,Australia,At-Risk
10582,United Kingdom,Loyal
10583,United Kingdom,Hibernating
10584,United Kingdom,New
10585,United Kingdom,Loyal
10586,Switzerland,At-Risk
10587,Japan,New
10588,United Kingdom,Hibernating
10589,United Kingdom,New
10590,USA,At-Risk
10591,United Kingdom,At-Risk
10592,Japan,Potential
10593,France,Loyal
10594,United Kingdom,At-Risk
10595,Japan,New
10596,Spain,Loyal
10597,Netherlands,New
10598,United Kingdom,Champions
10599,Japan,Champions
10600,United Kingdom,Loyal
10601,Germany,Potential
10602,France,New
10603,United Kingdom,At-Risk
10604,United Kingdom,Champions
10605,United Kingdom,New
10606,France,Hibernating
10607,United Kingdom,Champions
10608,Switzerland,New
10609,France,Champions
10610,France,Hibernating
10611,United Kingdom,Loyal
10612,United Kingdom,Champions
10613,France,Loyal
10614,Germany,Loyal
10615,Spain,Champions
10616,Germany,At-Risk
10617,United Kingdom,Hibernating
10618,Germany,Hibernating
10619,Germany,New
10620,Australia,Champions
10621,France,At-Risk
10622,United Kingdom,Champions
10623,United Kingdom,Champions
10624,United Kingdom,Potential
10625,France,Champions
10626,Belgium,Potential
10627,Netherlands,Loyal
10628,United Kingdom,Hibernating
10629,United Kingdom,Potential
10630,United Kingdom,Potential
10631,United Kingdom,Potential
10632,United Kingdom,Loyal
10633,Switzerland,Champions
10634,Netherlands,New
10635,United Kingdom,Loyal
10636,United Kingdom,Loyal
10637,Japan,At-Risk
10638,Japan,Hibernating
10639,United Kingdom,Hibernating
10640,United Kingdom,Champions
10641,Netherlands,Loyal
10642,United Kingdom,Champions
10643,Australia,At-Risk
10644,United Kingdom,At-Risk
10645,United Kingdom,New
10646,Netherlands,New
10647,United Kingdom,Loyal
10648,United Kingdom,New
10649,United Kingdom,Hibernating
10650,United Kingdom,Champions
10651,Netherlands,Champions
10652,United Kingdom,Loyal
10653,Germany,At-Risk
10654,United Kingdom,At-Risk
10655,Spain,At-Risk
10656,United Kingdom,Potential
10657,United Kingdom,Potential
10658,United Kingdom,New
10659,United Kingdom,At-Risk
10660,France,New
10661,United Kingdom,Champions
10662,United Kingdom,Potential
10663,United Kingdom,Hibernating
10664,Switzerland,Potential
10665,United Kingdom,Champions
10666,United Kingdom,Hibernating
10667,Spain,New
10668,United Kingdom,Champions
10669,United Kingdom,Potential
10670,United Kingdom,New
10671,USA,Champions
10672,France,Potential
10673,United Kingdom,At-Risk
10674,United Kingdom,Champions
10675,Germany,Hibernating
10676,United Kingdom,At-Risk
10677,France,Loyal
10678,USA,Champions
10679,Netherlands,New
10680,Germany,Hibernating
10681,United Kingdom,At-Risk
10682,Spain,Loyal
10683,USA,At-Risk
10684,Spain,New
10685,United Kingdom,Loyal
10686,Australia,New
10687,United Kingdom,Potential
10688,United Kingdom,Champions
10689,Switzerland,At-Risk
10690,Spain,Potential
10691,United Kingdom,Hibernating
10692,United Kingdom,At-Risk
10693,Australia,Potential
10694,Spain,Potential
10695,France,At-Risk
10696,Germany,Champions
10697,USA,Loyal
10698,United Kingdom,New
10699,United Kingdom,Hibernating
10700,Germany,New
10701,Switzerland,Hibernating
10702,United Kingdom,Champions
10703,United Kingdom,New
10704,USA,Potential
10705,United Kingdom,New
10706,Belgium,Hibernating
10707,United Kingdom,At-Risk
10708,France,New
10709,United Kingdom,Hibernating
10710,United Kingdom,Hibernating
10711,France,Loyal
10712,Belgium,Loyal
10713,United Kingdom,Champions
10714,Switzerland,Hibernating
10715,United Kingdom,Loyal
10716,United Kingdom,Potential
10717,United Kingdom,Hibernating
10718,Japan,Champions
10719,United Kingdom,Potential
10720,USA,At-Risk
10721,United Kingdom,At-Risk
10722,France,Champions
10723,Germany,Loyal
10724,France,Hibernating
10725,United Kingdom,Potential
10726,France,Hibernating
10727,United Kingdom,Hibernating
10728,United Kingdom,Champions
10729,United Kingdom,Potential
10730,Belgium,At-Risk
10731,France,Hibernating
10732,United Kingdom,Potential
10733,United Kingdom,Potential
10734,Germany,Potential
10735,USA,New
10736,United Kingdom,Potential
10737,United Kingdom,New
10738,United Kingdom,Champions
10739,United Kingdom,New
10740,United Kingdom,Loyal
10741,United Kingdom,Loyal
10742,United Kingdom,Potential
10743,United Kingdom,At-Risk
10744,USA,Loyal
10745,Belgium,Hibernating
10746,Germany,At-Risk
10747,United Kingdom,Champions
10748,United Kingdom,Loyal
10749,United Kingdom,Champions
10750,United Kingdom,New
10751,Australia,New
10752,United Kingdom,Loyal
10753,Switzerland,Hibernating
10754,Netherlands,Loyal
10755,Belgium,New
10756,USA,New
10757,United Kingdom,At-Risk
10758,United Kingdom,Champions
10759,USA,Hibernating
10760,United Kingdom,Loyal
10761,United Kingdom,At-Risk
10762,United Kingdom,At-Risk
10763,United Kingdom,Potential
10764,Spain,At-Risk
10765,Germany,Champions
10766,United Kingdom,At-Risk
10767,Netherlands,New
10768,United Kingdom,New
10769,United Kingdom,Hibernating
10770,United Kingdom,Hibernating
10771,United Kingdom,New
10772,Germany,Hibernating
10773,United Kingdom,Hibernating
10774,Spain,Champions
10775,United Kingdom,Champions
10776,United Kingdom,At-Risk
10777,Germany,At-Risk
10778,Netherlands,Loyal
10779,France,New
10780,Germany,Champions
10781,United Kingdom,Potential
10782,United Kingdom,New
10783,Germany,Loyal
10784,France,Hibernating
10785,United Kingdom,Hibernating
10786,United Kingdom,New
10787,USA,Potential
10788,Australia,Hibernating
10789,United Kingdom,Hibernating
10790,Germany,Potential
10791,Germany,New
10792,Switzerland,At-Risk
10793,United Kingdom,Champions
10794,USA,Hibernating
10795,United Kingdom,Potential
10796,Australia,Potential
10797,United Kingdom,New
10798,United Kingdom,Potential
10799,Belgium,Hibernating
10800,Germany,Potential
10801,United Kingdom,New
10802,United Kingdom,Potential
10803,Netherlands,New
10804,United Kingdom,Potential
10805,United Kingdom,Hibernating
10806,USA,Champions
10807,United Kingdom,New
10808,United Kingdom,Loyal
10809,United Kingdom,Loyal
10810,United Kingdom,Hibernating
10811,Japan,Potential
10812,Netherlands,Potential
10813,United Kingdom,Loyal
10814,Germany,Potential
10815,United Kingdom,New
10816,United Kingdom,Loyal
10817,United Kingdom,Hibernating
10818,United Kingdom,At-Risk
10819,Spain,Potential
10820,Spain,Potential
10821,United Kingdom,New
10822,United Kingdom,Loyal
10823,United Kingdom,At-Risk
10824,United Kingdom,At-Risk
10825,Belgium,Potential
10826,United Kingdom,Potential
10827,United Kingdom,New
10828,United Kingdom,Potential
10829,United Kingdom,Champions
10830,Germany,Hibernating
10831,United Kingdom,New
10832,Switzerland,Loyal
10833,United Kingdom,At-Risk
10834,USA,Champions
10835,United Kingdom,New
10836,France,Potential
10837,United Kingdom,Loyal
10838,Switzerland,At-Risk
10839,Japan,Potential
10840,United Kingdom,Champions
10841,France,Hibernating
10842,United Kingdom,Champions
10843,Spain,Hibernating
10844,United Kingdom,Loyal
10845,United Kingdom,New
10846,United Kingdom,New
10847,United Kingdom,Loyal
10848,United Kingdom,Hibernating
10849,USA,Loyal
10850,United Kingdom,New
10851,United Kingdom,Loyal
10852,Netherlands,At-Risk
10853,United Kingdom,Potential
10854,United Kingdom,Champions
10855,France,Loyal
10856,Germany,Potential
10857,Australia,Champions
10858,Japan,Loyal
10859,United Kingdom,Loyal
10860,Japan,Champions
10861,USA,New
10862,Belgium,Loyal
10863,Japan,At-Risk
10864,Australia,Champions
10865,United Kingdom,Hibernating
10866,United Kingdom,At-Risk
10867,United Kingdom,Potential
10868,Germany,New
10869,Japan,Loyal
10870,Australia,New
10871,United Kingdom,Champions
10872,United Kingdom,Potential
10873,United Kingdom,At-Risk
10874,Netherlands,Champions
10875,Netherlands,At-Risk
10876,Germany,Loyal
10877,United Kingdom,Potential
10878,Japan,New
10879,Germany,Champions
10880,United Kingdom,Champions
10881,United Kingdom,Loyal
10882,United Kingdom,Loyal
10883,United Kingdom,New
10884,United Kingdom,At-Risk
10885,USA,At-Risk
10886,France,Hibernating
10887,United Kingdom,Potential
10888,United Kingdom,Loyal
10889,United Kingdom,Champions
10890,United Kingdom,Loyal
10891,United Kingdom,Hibernating
10892,Japan,Potential
10893,Belgium,Potential
10894,United Kingdom,At-Risk
10895,United Kingdom,Loyal
10896,United Kingdom,Loyal
10897,United Kingdom,New
10898,Netherlands,Hibernating
10899,United Kingdom,Potential
10900,Germany,New
10901,Netherlands,Potential
10902,Switzerland,Loyal
10903,Spain,Hibernating
10904,Australia,Champions
10905,Germany,Hibernating
10906,Spain,Champions
10907,Japan,Champions
10908,United Kingdom,Hibernating
10909,Japan,Loyal
10910,Germany,Loyal
10911,United Kingdom,Hibernating
10912,United Kingdom,Potential
10913,United Kingdom,Hibernating
10914,United Kingdom,Hibernating
10915,United Kingdom,Champions
10916,United Kingdom,Hibernating
10917,United Kingdom,Hibernating
10918,United Kingdom,New
10919,Spain,At-Risk
10920,Netherlands,New
10921,United Kingdom,Champions
10922,Netherlands,Hibernating
10923,United Kingdom,New
10924,United Kingdom,Champions
10925,Germany,Champions
10926,Japan,Champions
10927,USA,New
10928,United Kingdom,New
10929,United Kingdom,Loyal
10930,Belgium,Potential
10931,France,New
10932,United Kingdom,New
10933,United Kingdom,New
10934,United Kingdom,Potential
10935,USA,Hibernating
10936,United Kingdom,At-Risk
10937,United Kingdom,Hibernating
10938,United Kingdom,Loyal
10939,Netherlands,Loyal
10940,Switzerland,Champions
10941,USA,New
10942,Spain,Hibernating
10943,United Kingdom,New
10944,Switzerland,Loyal
10945,United Kingdom,Loyal
10946,United Kingdom,Potential
10947,Belgium,Champions
10948,Switzerland,New
10949,France,Champions
10950,United Kingdom,Champions
10951,United Kingdom,Champions
10952,United Kingdom,Potential
10953,Spain,Champions
10954,United Kingdom,Champions
10955,United Kingdom,Loyal
10956,Germany,Champions
10957,United Kingdom,At-Risk
10958,United Kingdom,Potential
10959,Germany,Hibernating
10960,France,Potential
10961,Switzerland,Loyal
10962,United Kingdom,Loyal
10963,USA,Hibernating
10964,United Kingdom,At-Risk
10965,United Kingdom,Hibernating
10966,USA,Potential
10967,Japan,Potential
10968,Spain,Hibernating
10969,United Kingdom,At-Risk
10970,USA,Potential
10971,United Kingdom,Hibernating
10972,United Kingdom,New
10973,United Kingdom,At-Risk
10974,United Kingdom,Hibernating
10975,United Kingdom,Loyal
10976,United Kingdom,Potential
10977,United Kingdom,New
10978,Japan,Hibernating
10979,United Kingdom,New
10980,Germany,Loyal
10981,United Kingdom,At-Risk
10982,United Kingdom,Potential
10983,United Kingdom,New
10984,Australia,Champions
10985,Germany,Loyal
10986,United Kingdom,New
10987,Spain,Hibernating
10988,United Kingdom,Champions
10989,United Kingdom,Hibernating
10990,Netherlands,Hibernating
10991,United Kingdom,Loyal
10992,Australia,At-Risk
10993,United Kingdom,Champions
10994,United Kingdom,Loyal
10995,USA,Champions
10996,Netherlands,New
10997,Japan,Potential
10998,France,Loyal
10999,United Kingdom,Loyal
11000,Germany,At-Risk
11001,United Kingdom,Hibernating
11002,France,At-Risk
11003,United Kingdom,Hibernating
11004,Japan,New
11005,United Kingdom,Potential
11006,United Kingdom,At-Risk
11007,Japan,At-Risk
11008,United Kingdom,Champions
11009,Germany,Loyal
11010,Netherlands,Champions
11011,United Kingdom,Hibernating
11012,Germany,New
11013,United Kingdom,Loyal
11014,United Kingdom,New
11015,Germany,Loyal
11016,United Kingdom,Potential
11017,USA,At-Risk
11018,United Kingdom,New
11019,USA,Potential
11020,Netherlands,New
11021,United Kingdom,At-Risk
11022,United Kingdom,Potential
11023,Germany,Loyal
11024,Japan,Hibernating
11025,USA,Champions
11026,Germany,Champions
11027,USA,Potential
11028,United Kingdom,Champions
11029,United Kingdom,Potential
11030,United Kingdom,Potential
11031,United Kingdom,Loyal
11032,Germany,At-Risk
11033,United Kingdom,Potential
11034,Spain,Hibernating
11035,Japan,Potential
11036,United Kingdom,Champions
11037,Germany,New
11038,United Kingdom,Hibernating
11039,Netherlands,Hibernating
11040,USA,Champions
11041,Germany,Potential
11042,Spain,Loyal
11043,United Kingdom,Champions
11044,Germany,Loyal
11045,United Kingdom,Hibernating
11046,United Kingdom,At-Risk
11047,United Kingdom,New
11048,United Kingdom,New
11049,United Kingdom,Loyal
11050,USA,Loyal
11051,United Kingdom,Champions
11052,France,Potential
11053,Netherlands,Champions
11054,United Kingdom,New
11055,Germany,Champions
11056,France,Potential
11057,United Kingdom,New
11058,Australia,Potential
11059,Belgium,Hibernating
11060,USA,Champions
11061,Japan,Champions
11062,United Kingdom,Potential
11063,Japan,New
11064,United Kingdom,Champions
11065,Spain,At-Risk
11066,Japan,Hibernating
11067,France,Loyal
11068,Japan,At-Risk
11069,United Kingdom,Loyal
11070,France,Potential
11071,Switzerland,Champions
11072,United Kingdom,Hibernating
11073,United Kingdom,New
11074,Spain,Hibernating
11075,United Kingdom,Potential
11076,United Kingdom,Potential
11077,Netherlands,Hibernating
11078,Netherlands,At-Risk
11079,United Kingdom,New
11080,United Kingdom,Champions
11081,United Kingdom,Hibernating
11082,USA,New
